NOME_PRODUTO,URL,CATEGORIA,PORCAO,CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Jasmine Granola Superfrutas Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-superfrutas-zero-a%C3%A7%C3%BAcar/1-2-x%C3%ADcara,Produto Jasmine Alimentos,40,152,22.0,5.0,5.0,0.9,5.0,0.0,13
Jasmine Granola Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-integral/1-2-x%C3%ADcara,Produto Jasmine Alimentos,40,164,28.0,4.0,4.0,0.8,4.0,0.0,0
Jasmine Biov Aveia,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biov-aveia/1-copo,Produto Jasmine Alimentos,200,89,15.0,1.0,2.8,0.6,1.4,11.0,80
Jasmine Rosquinhas Integrais Aveia e Mel,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/rosquinhas-integrais-aveia-e-mel/6-unidades,Produto Jasmine Alimentos,30,128,21.0,2.8,3.7,0.6,1.8,0.0,69
Jasmine Super Fruit Bar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/super-fruit-bar/1-barra,Produto Jasmine Alimentos,22,62,9.2,1.7,2.0,0.3,2.5,0.0,40
Jasmine Gran Cookies Integral Aveia + Berries,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/gran-cookies-integral-aveia-berries/3-unidades,Produto Jasmine Alimentos,30,119,18.0,2.3,4.2,0.7,2.5,0.0,52
Jasmine Arroz Agulhinha Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/arroz-agulhinha-integral/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,50,167,36.0,3.3,1.1,0.3,2.5,0.0,0
Jasmine Grain Flakes,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/grain-flakes/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,148,23.0,4.1,4.6,1.3,3.6,4.0,7
Jasmine Pão Tradicional sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-tradicional-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,94,17.0,1.7,2.2,1.3,1.6,0.6,300
Jasmine Goji Berries,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/goji-berries/4-colheres-de-sopa,Produto Jasmine Alimentos,50,183,34.0,6.0,2.5,0.7,5.0,26.0,0
